net,sid,layer,kind,width_um,cuts,i_avg,i_rms,i_peak,imax_avg,ratio_avg,ratio_rms,ratio_peak,worst,worst_kind,tier,x1,y1,x2,y2
VSS,63,Metal2,metal,2.0,0,4.1313e-05,4.1313e-05,4.1313e-05,2.1591e-03,0.0191,0.0,0.0,0.0191,avg,ok,4.75,-2.15,6.5,-2.15
VSS,64,Metal2,metal,2.0,0,4.1313e-05,4.1313e-05,4.1313e-05,2.1591e-03,0.0191,0.0,0.0,0.0191,avg,ok,8.0,-2.15,6.5,-2.15
VSS,21,Metal1,metal,2.02,0,1.9585e-05,1.9585e-05,1.9585e-05,1.0903e-03,0.018,0.0,0.0,0.018,avg,ok,1.5,-2.14,3.0,-2.14
VREG,170,Metal2,metal,0.5,0,9.2081e-06,9.2081e-06,9.2081e-06,5.3977e-04,0.0171,0.0,0.0,0.0171,avg,ok,44.19,10.475,43.97,11.45
VREG,154,Metal2,metal,0.5,0,9.1421e-06,9.1421e-06,9.1421e-06,5.3977e-04,0.0169,0.0,0.0,0.0169,avg,ok,35.12,11.7,35.0,11.7
VREG,153,Metal2,metal,0.5,0,9.1421e-06,9.1421e-06,9.1421e-06,5.3977e-04,0.0169,0.0,0.0,0.0169,avg,ok,34.77,11.7,35.0,11.7
VREG,111,Metal2,metal,0.1,0,1.7284e-06,1.7284e-06,1.7284e-06,1.0795e-04,0.016,0.0,0.0,0.016,avg,ok,49.4,5.05,49.5,5.05
VREG,112,Metal2,metal,0.1,0,1.7284e-06,1.7284e-06,1.7284e-06,1.0795e-04,0.016,0.0,0.0,0.016,avg,ok,49.915,5.05,49.5,5.05
VSS,12,Metal1,metal,3.0,0,2.5648e-05,2.5648e-05,2.5648e-05,1.6193e-03,0.0158,0.0,0.0,0.0158,avg,ok,40.5,-2.14,41.895,-1.13
VREG,9,Metal1,metal,0.14,0,1.0626e-06,1.0626e-06,1.0626e-06,7.5568e-05,0.0141,0.0,0.0,0.0141,avg,ok,6.99,9.782,7.07,9.565
VSS,95,Via1,via,0.0,21,6.0663e-05,6.0663e-05,6.0663e-05,4.5341e-03,0.0134,0.0,0.0,0.0134,avg,ok,46.94,-2.35,46.94,-2.35
VREG,108,Metal2,metal,0.83,0,1.1515e-05,1.1515e-05,1.1515e-05,8.9603e-04,0.0129,0.0,0.0,0.0129,avg,ok,49.915,5.05,49.565,5.0
VSS,8,Metal1,metal,3.5,0,2.0690e-05,2.0690e-05,2.0690e-05,1.8892e-03,0.011,0.0,0.0,0.011,avg,ok,30.75,-2.14,32.495,-1.13
VSS,27,Metal1,metal,3.0,0,1.6147e-05,1.6147e-05,1.6147e-05,1.6193e-03,0.01,0.0,0.0,0.01,avg,ok,8.0,-2.14,8.935,-1.13
VSS,16,Metal1,metal,3.0,0,1.6147e-05,1.6147e-05,1.6147e-05,1.6193e-03,0.01,0.0,0.0,0.01,avg,ok,47.0,-2.14,47.035,-1.13
VSS,4,Metal1,metal,3.0,0,1.6147e-05,1.6147e-05,1.6147e-05,1.6193e-03,0.01,0.0,0.0,0.01,avg,ok,14.5,-2.14,14.14,-1.13
VSS,43,Metal1,metal,3.0,0,1.6147e-05,1.6147e-05,1.6147e-05,1.6193e-03,0.01,0.0,0.0,0.01,avg,ok,27.5,-2.14,27.535,-1.13
VSS,61,Metal2,metal,2.0,0,2.0783e-05,2.0783e-05,2.0783e-05,2.1591e-03,0.0096,0.0,0.0,0.0096,avg,ok,1.5,-2.15,3.0,-2.15
VSS,62,Metal2,metal,2.0,0,2.0783e-05,2.0783e-05,2.0783e-05,2.1591e-03,0.0096,0.0,0.0,0.0096,avg,ok,4.75,-2.15,3.0,-2.15
VSS,94,Via1,via,0.0,27,5.0950e-05,5.0950e-05,5.0950e-05,5.8296e-03,0.0087,0.0,0.0,0.0087,avg,ok,43.66,-2.35,43.66,-2.35
VSS,2,Metal1,metal,3.5,0,1.6147e-05,1.6147e-05,1.6147e-05,1.8892e-03,0.0085,0.0,0.0,0.0085,avg,ok,4.75,-2.14,4.84,-1.13
VSS,6,Metal1,metal,3.5,0,1.6147e-05,1.6147e-05,1.6147e-05,1.8892e-03,0.0085,0.0,0.0,0.0085,avg,ok,24.25,-2.14,23.44,-1.13
VSS,35,Metal1,metal,3.5,0,1.6147e-05,1.6147e-05,1.6147e-05,1.8892e-03,0.0085,0.0,0.0,0.0085,avg,ok,17.75,-2.14,18.235,-1.13
